source_idx,target_idx,ratio
9,33,0.00019134723054052146
9,34,0.00809364616038095
9,39,0.0025306205131926315
9,40,0.001389904852554021
9,42,0.0015566752113147378
9,45,0.00006289258860957987
9,47,0.005521880297764053
9,48,0.008944639476920455
9,49,0.00011350563954496335
9,50,0.00011468020401814734
10,5,0.003073409525652772
10,6,0.03933370735670115
10,10,0.9421555191666752
10,13,0.00006364130117574418
10,28,0.00011807777813928784
10,37,0.008598740385032798
10,41,0.00018897321230345498
10,45,0.006183313232950384
10,47,0.00015069089703681956
10,49,0.00013392714433248083
11,4,0.00001992640179142838
11,11,0.9704290482437999
11,14,0.00010642658530569454
11,21,0.0003301401893306195
11,28,0.00007496900346119367
11,29,0.012740717541747059
11,41,0.01530931403155491
11,50,0.000022082373132796043
11,51,0.0009673756298763509
12,3,0.00019760574003159016
12,8,0.0006518315661433348
12,12,0.9543208611809612
12,17,0.00003011401607550056
12,28,0.000044897260330746286
12,30,0.00022333041012760112
12,43,0.006846931566552458
12,44,0.0022453608610454984
12,46,0.03543906739873197
13,2,0.005967486774519897
13,3,0.0001595822307964803
13,4,0.0000451293032888711
13,6,0.0014190449768874242
13,10,0.0002037504470708662
13,11,0.00005189869878220177
13,12,0.000037357034389121076
13,13,0.9329403095668237
13,14,0.001999189135064518
13,16,0.004670214308127213
13,19,0.0005752398286437569
13,23,0.0011583995714387644
13,28,0.03575251354723532
13,29,0.00005231656270154316
13,30,0.00030504066111922135
13,40,0.000059503822114215235
13,41,0.00042597047937662224
13,45,0.014037235784208527
13,46,0.00013981726741163215
14,6,0.0012893379994223571
14,10,0.00007343019548559124
14,11,0.00010357954267872187
14,13,0.0013590685232134187
14,14,0.9625998120510454
14,18,0.00237691836979118
14,19,0.00004745685875235777
14,21,0.00012065371261302216
14,23,0.008557264189948566
14,28,0.00006416090059194657
14,29,0.008045633710749973
14,30,0.00006826449468548718
14,37,0.000024766397293956803
14,41,0.015180146424911127
14,46,0.00008950662881675616
15,7,0.000023569366353028755
15,15,0.9689634661255372
15,24,0.000167413310361642
15,27,0.008647620184163788
15,28,0.00006962910088555705
15,32,0.0016536242706243498
15,33,0.00042866574312740277
15,36,0.020006999371235165
15,37,0.00001776975117030923
15,39,0.00002124277654135639
16,2,0.03944147171312498
16,9,0.00022699996115687056
16,13,0.004797699923807426
16,16,0.8881122034854702
16,19,0.007230314302236275
16,28,0.02738874245507851
16,30,0.00037778495950986434
16,44,0.0007050706522985987
16,45,0.022198083117836057
16,46,0.008988124689854106
16,50,0.0005335047396271378
17,4,0.000042381153134376923
17,8,0.0681447727868636
17,17,0.931149026868479
17,25,0.0005028801803301478
17,43,0.00003636576365723956
17,44,0.00007617670492411232
17,46,0.00004839654261151429
18,2,0.00002276031302916449
18,3,0.000140268692641355
18,4,0.009024682904688275
18,11,0.00012396972712150727
18,13,0.00022769757142454599
18,14,0.0029358938595247393
18,16,0.0000819749033581526
18,18,0.9641438766335377
18,23,0.007387546652857191
18,28,0.000022949195294966688
18,29,0.014732073795659049
18,30,0.00041096058981912565
18,41,0.00043038398281911803
18,45,0.00004514286152672459
18,50,0.000028049016471625952
18,52,0.0002417693002268095
19,1,0.00012622654727034176
19,5,0.00024149819989416422
19,6,0.00011167452303839823
19,8,0.0002333229053818364
19,9,0.00002280907168939466
19,13,0.00019217392300311965
