,"episode","week","Total_hosp","new_hosp","new_deaths","H_term","D_term","Lockdown_term","reward","action","delta","k0","error","initial_stage"
10331,1721,20,40369.3678189156,16911.0261488554,4315.24476500675,84555.1307442769,4315.24476500675,107.908302146351,-88978.28381143,1,0,0.1,"False","med"
10332,1722,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,59,0,0,"False","med"
10333,1722,12,138456.607236705,176854.587939799,27792.6743508408,884272.939698997,27792.6743508408,207.919554251731,-912273.533604089,3,0,0.3,"False","med"
10334,1722,14,125128.157239086,95435.6882866615,30295.6322690508,477178.441433307,30295.6322690508,263.308649942947,-507737.382352301,51,0.4,0.7,"False","med"
10335,1722,16,73906.3720275696,22456.8151318929,11990.2750321565,112284.075659465,11990.2750321565,207.919554251731,-124482.270245873,3,0,0.3,"False","med"
10336,1722,18,43924.9211718988,12195.4165802233,4391.95405579289,60977.0829011164,4391.95405579289,133.079583631318,-65502.1165405406,4,0,0.4,"False","med"
10337,1722,20,25339.5703250748,5744.48660997925,2108.78283843159,28722.4330498962,2108.78283843159,207.087064235415,-31038.3029525632,6,0,0.6,"False","med"
10338,1723,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,59,0,0,"False","med"
10339,1723,12,131037.529457037,164409.048115376,27137.7462441353,822045.24057688,27137.7462441353,221.799306052197,-849404.786127068,4,0,0.4,"False","med"
10340,1723,14,117066.457702984,88187.9966620444,27218.4898577793,440939.983310222,27218.4898577793,237.051160411114,-468395.524328412,38,0.3,0.5,"False","med"
10341,1723,16,73698.2724936254,28304.234378162,12656.6025299927,141521.17189081,12656.6025299927,221.799306052197,-154399.573726855,4,0,0.4,"False","med"
10342,1723,18,42969.5432292798,11016.3892082323,4797.23566143326,55081.9460411615,4797.23566143326,149.102686249499,-60028.2843888442,6,0,0.6,"False","med"
10343,1723,20,24621.7978381647,5479.94470250856,1797.68080005064,27399.7235125428,1797.68080005064,149.872641869933,-29347.2769544634,1,0,0.1,"False","med"
10344,1724,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,59,0,0,"False","med"
10345,1724,12,123999.04266643,152709.790924686,26493.016296811,763548.954623431,26493.016296811,235.373074978783,-790277.343995221,5,0,0.5,"False","med"
10346,1724,14,113315.662848501,88034.6394824585,24657.3578129142,440173.197412292,24657.3578129142,195,-465025.555225207,24,0.2,0.2,"False","med"
10347,1724,16,82775.387279304,45651.2342848395,15435.3477511024,228256.171424198,15435.3477511024,235.373074978783,-243926.892250279,5,0,0.5,"False","med"
10348,1724,18,49736.8930392221,15228.7065868805,6785.23603214394,76143.5329344024,6785.23603214394,248.504477082498,-83177.2734436289,6,0,0.6,"False","med"
10349,1724,20,26663.7589829566,3447.33826185249,2230.07846261335,17236.6913092624,2230.07846261335,236.811624534277,-19703.5813964101,9,0,0.9,"False","med"
10350,1725,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,59,0,0,"False","bad"
10351,1725,12,166190.789253719,18949.4995254556,21320.3630666395,94747.4976272779,21320.3630666395,235.373074978783,-116303.233768896,5,0,0.5,"False","bad"
10352,1725,14,84045.7544611145,2367.05860792747,3729.23368290239,11835.2930396374,3729.23368290239,133.41269767453,-15697.9394202143,15,0.1,0.4,"False","bad"
10353,1725,16,42451.9393983028,369.009180857729,608.759036698679,1845.04590428865,608.759036698679,258.910382476662,-2712.71532346399,5,0,0.5,"False","bad"
10354,1725,18,21451.8795871967,76.3861331931107,99.6976423650481,381.930665965553,99.6976423650481,204.456008358063,-686.084316688664,12,0.1,0.1,"False","bad"
10355,1725,20,10851.845539808,38.2553078775628,21.3123100079259,191.276539387814,21.3123100079259,188.096407569247,-400.685256964987,0,0,0,"False","bad"
10356,1726,10,28.5239789247833,50.8487120011643,7.29137387950124,50.8487120011643,7.29137387950124,276.612364072422,-334.752449953087,73,0,0,"False","good"
10357,1726,12,67.1520823814692,90.2582787771831,11.7767635207783,90.2582787771831,11.7767635207783,300.670600526563,-402.705642824524,12,0.1,0.1,"False","good"
10358,1726,14,156.410365241829,203.719294119186,27.2043320454827,203.719294119186,27.2043320454827,346.532590419552,-577.45621658422,3,0,0.3,"False","good"
10359,1726,16,374.022028675445,507.101412018576,57.4906685072228,507.101412018576,57.4906685072228,277.537680859119,-842.129761384918,11,0.1,0,"False","good"
10360,1726,18,1106.7318267455,1541.00680106799,177.175469053322,1541.00680106799,177.175469053322,316.676158338114,-2034.85842845943,2,0,0.2,"False","good"
10361,1726,20,3153.97890493475,4424.49798918575,485.135312733747,13273.4939675573,485.135312733747,269.770755365879,-14028.4000356569,1,0,0.1,"False","good"
10362,1727,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,73,0,0,"False","med"
10363,1727,12,99871.4358853812,113715.205086906,24030.1896850328,568576.025434531,24030.1896850328,284.173949441133,-592890.389069005,9,0,0.9,"False","med"
10364,1727,14,66066.6696670754,30220.1521448798,12988.2509266248,151100.760724399,12988.2509266248,207.919554251731,-164296.931205275,3,0,0.3,"False","med"
10365,1727,16,50866.5702936586,30762.777343949,6546.17704118861,153813.886719745,6546.17704118861,165.967418443453,-160526.031179377,0,0,0,"False","med"
10366,1727,18,47413.6355691158,36034.7385980105,7471.27505087413,180173.692990052,7471.27505087413,235.373074978783,-187880.341115905,5,0,0.5,"False","med"
10367,1727,20,37778.9382612511,24093.8928960773,5985.65069802431,120469.464480387,5985.65069802431,193.883362247825,-126648.998540659,2,0,0.2,"False","med"
10368,1728,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,73,0,0,"False","med"
10369,1728,12,94844.1676817962,105858.962750909,23445.5368814799,529294.813754543,23445.5368814799,294.580156059957,-553034.930792083,10,0,1,"False","med"
10370,1728,14,58871.5237496848,22325.9508455157,11010.4049604632,111629.754227579,11010.4049604632,207.919554251731,-122848.078742293,3,0,0.3,"False","med"
10371,1728,16,41991.7041683579,21572.1533978209,4981.89577373125,107860.766989105,4981.89577373125,107.908302146351,-112950.571064982,1,0,0.1,"False","med"
10372,1728,18,43063.9918085465,37131.3111613395,5634.31280527761,185656.555806697,5634.31280527761,165.967418443453,-191456.836030418,0,0,0,"False","med"
10373,1728,20,41634.3518658773,33110.0022831103,8293.8766785162,165550.011415551,8293.8766785162,284.173949441133,-174128.062043509,9,0,0.9,"False","med"
10374,1729,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,73,0,0,"False","med"
10375,1729,12,158717.578653342,211020.460064881,29666.6021891853,1055102.30032441,29666.6021891853,166.522608515472,-1084935.42512211,11,0.1,0,"False","med"
10376,1729,14,202127.862387009,204418.478310258,44943.6307166578,1022092.39155129,44943.6307166578,179.847170243919,-1067215.86943819,1,0,0.1,"False","med"
10377,1729,16,154654.650645948,93874.1853542322,33750.9283982835,469370.926771161,33750.9283982835,248.504477082498,-503370.359646527,6,0,0.6,"False","med"
10378,1729,18,90619.8288591663,25667.0338797505,12545.9306422479,128335.169398753,12545.9306422479,165.967418443453,-141047.067459444,0,0,0,"False","med"
10379,1729,20,53550.7304637328,14233.5703118723,5229.89649417093,71167.8515593616,5229.89649417093,235.373074978783,-76633.1211285113,5,0,0.5,"False","med"
10380,1730,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,94,0,0,"False","bad"
10381,1730,12,166896.94570482,20056.0783874875,21410.1367999762,100280.391937437,21410.1367999762,207.919554251731,-121898.448291665,3,0,0.3,"False","bad"
10382,1730,14,84910.6412084083,3233.32690786466,4004.27985635265,16166.6345393233,4004.27985635265,110.476830321281,-20281.3912259972,89,0.8,0.1,"False","bad"
10383,1730,16,42877.4216337794,417.735179274819,723.203561497326,2088.67589637409,723.203561497326,228.711509676904,-3040.59096754832,3,0,0.3,"False","bad"
10384,1730,18,21641.1946600994,47.2660058849662,113.309296947903,236.330029424831,113.309296947903,303.91999888554,-653.559325258273,74,0.6,0.8,"False","bad"
10385,1730,20,10926.9234642278,4.94862213095681,15.7994109582869,24.743110654784,15.7994109582869,219.734477214202,-260.276998827273,2,0,0.2,"False","bad"
10386,1731,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,84,0,0,"False","bad"
10387,1731,12,166539.872103749,19495.5767539111,21365.1900437225,97477.8837695554,21365.1900437225,221.799306052197,-119064.87311933,4,0,0.4,"False","bad"
10388,1731,14,84225.5753002155,2411.72262024676,3825.4783109831,12058.6131012338,3825.4783109831,157.652075922557,-16041.7434881395,40,0.3,0.7,"False","bad"
10389,1731,16,42465.0285542741,247.24599179242,583.905079727086,1236.2299589621,583.905079727086,228.711509676904,-2048.84654836609,3,0,0.3,"False","bad"
